ax	ay	az	gx	gy	gz	mx	my	mz	MotorIzquierdo	MotorDerecho	DutyMotorIzquierdo	DutyMotorDerecho	roll	pitch	yaw	yaw_Gps	Bateria	TDerecho	TIzquierdo	IDerecho	IIzquierdo	WDerecho	WIzquierdo	U	UR	UL	UtR	UtL	errorR	UiR	UdR	UpR	Ui1R	errorL	UiL	UdL	UpL	Ui1L	t	KpL
-0.158691	-0.181152	1.039551	-3.902439	6.097561	2.743902	21.196877	184.855087	21.877735	0.000000	0.000000	50.000000	-0.158691	-23.504141	-4.106647	-25.025213	-25.025213	12.923200	27.000000	31.000000	0.000000	5.000000	0.000000	5.654862	30.000000	5.872393	4.350000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.700000	1.800000	
0.113281	-0.030273	0.978516	0.487805	-5.182927	3.414634	20.484377	186.648056	18.432423	0.000000	0.000000	50.000000	0.113281	-22.526121	-4.411691	-24.823696	-24.823696	12.805600	27.000000	31.000000	9.000000	5.000000	4.712385	4.712385	30.000000	5.872393	4.350000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.750000	1.800000	
0.091309	0.013672	0.715332	0.182927	2.682927	0.060976	20.484377	186.648056	18.432423	0.000000	0.000000	50.000000	0.091309	-21.454741	-4.441574	-24.455435	-24.455435	12.791200	27.000000	31.000000	13.000000	2.000000	4.712385	6.492620	30.000000	5.872393	4.350000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.800000	1.800000	
-0.080078	-0.027832	1.060059	-3.658537	7.256098	0.304878	21.196877	184.496490	23.944923	0.000000	0.000000	50.000000	-0.080078	-20.734480	-3.674985	-24.455435	-24.455435	12.880000	27.000000	31.000000	5.000000	1.000000	6.073740	6.492620	30.000000	5.872393	4.350000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.850000	1.800000	
-0.086914	-0.043945	1.124512	-2.012195	0.670732	1.219512	21.196877	184.496490	23.944923	0.000000	0.000000	50.000000	-0.086914	-20.010744	-3.227391	-24.581575	-24.581575	12.923200	27.000000	31.000000	2.000000	2.000000	6.911498	6.492620	30.000000	5.872393	4.350000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.900000	1.800000	
0.098145	0.165039	0.900879	0.548781	-3.658537	-0.426829	21.196877	184.496490	23.944923	0.000000	0.000000	50.000000	0.098145	-18.631830	-3.565980	-24.171444	-24.171444	12.925600	27.000000	31.000000	1.000000	1.000000	6.911498	6.492620	30.000000	5.872393	4.350000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.950000	1.800000	
-0.079590	-0.040039	0.983887	-2.865854	3.719512	0.121951	21.018751	184.317200	27.217970	0.000000	0.000000	50.000000	-0.079590	-18.052013	-2.986603	-24.909210	-24.909210	12.860800	27.000000	30.000000	2.000000	1.000000	6.492620	6.073740	30.000000	5.872393	4.350000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	1.800000	
-0.013672	-0.006348	1.062500	-1.463415	-1.951220	0.060976	21.018751	184.317200	27.217970	0.000000	0.000000	50.000000	-0.013672	-17.336466	-2.896209	-24.909210	-24.909210	12.923200	27.000000	30.000000	2.000000	1.000000	6.911498	6.492620	30.000000	5.872393	4.350000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.050000	1.800000	
0.054688	0.032227	0.934082	-3.109756	0.731707	0.487805	21.731251	183.600006	26.873440	0.000000	0.000000	50.000000	0.054688	-16.628447	-2.879211	-24.535009	-24.535009	12.923200	27.000000	30.000000	1.000000	1.000000	7.330377	6.492620	30.000000	5.872393	4.350000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.100000	1.800000	
0.014160	0.052246	0.927734	-2.134146	3.048780	-0.060976	21.731251	183.600006	26.873440	0.000000	0.000000	50.000000	0.014160	-15.843865	-2.637662	-24.478025	-24.478025	12.923200	27.000000	30.000000	1.000000	1.000000	6.911498	6.492620	30.000000	5.872393	4.350000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.150000	1.800000	
0.072754	0.029297	0.908691	1.158537	-3.170732	0.548781	21.731251	183.600006	26.873440	0.000000	0.000000	50.000000	0.072754	-15.003456	-2.879268	-24.353008	-24.353008	12.925600	27.000000	30.000000	1.000000	1.000000	6.911498	6.492620	30.000000	5.872393	4.350000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.200000	1.800000	
-0.073242	0.046875	0.947266	-0.609756	-1.463415	0.975610	22.978127	183.420715	28.768360	0.000000	0.000000	50.000000	-0.073242	-14.245942	-2.578632	-24.353008	-24.353008	12.923200	27.000000	30.000000	1.000000	1.000000	6.911498	6.492620	30.000000	5.872393	4.350000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.250000	1.800000	
-0.011230	-0.030762	0.989746	-3.963415	4.024390	-0.060976	22.978127	183.420715	28.768360	0.000000	0.000000	50.000000	-0.011230	-13.904909	-2.221559	-24.296490	-24.296490	12.923200	27.000000	30.000000	1.000000	1.000000	6.911498	6.073740	30.000000	5.872393	4.350000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.300000	1.800000	
-0.041016	0.062500	0.973145	0.304878	-0.487805	0.975610	21.196877	183.420715	28.768360	0.000000	0.000000	50.000000	-0.041016	-13.112350	-2.004165	-24.227745	-24.227745	12.925600	27.000000	30.000000	0.000000	1.000000	6.911498	6.492620	30.000000	5.872393	4.350000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.350000	1.800000	
-0.078125	0.060547	0.885742	-1.768293	-1.219512	-0.182927	21.196877	183.420715	28.768360	0.000000	0.000000	50.000000	-0.078125	-12.449164	-1.716259	-24.353008	-24.353008	12.923200	27.000000	30.000000	0.000000	1.000000	6.911498	6.911498	30.000000	5.872393	4.350000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.400000	1.800000	
-0.003418	0.034180	0.994141	-0.731707	0.609756	0.487805	21.196877	183.420715	28.768360	0.000000	0.000000	50.000000	-0.003418	-11.856576	-1.582866	-24.353008	-24.353008	12.923200	27.000000	30.000000	0.000000	1.000000	6.911498	7.330377	30.000000	5.872393	4.350000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.450000	1.800000	
-0.007324	0.005371	1.023438	-3.231707	1.768293	0.060976	20.484377	181.269150	27.390236	0.000000	0.000000	50.000000	-0.007324	-11.496959	-1.392390	-24.398136	-24.398136	12.923200	27.000000	30.000000	1.000000	1.000000	6.911498	6.911498	30.000000	5.872393	4.350000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.500000	1.800000	
